"user_id","bank_name","branch_name","account_type","account_number","account_holder_name","nickname","created_at"
"48","+Acts Bank","名古屋","貯蓄","9319141","前田 零","貯金","2025-09-12T05:00:10.412334+00:00"
"49","+Acts Bank","丸の内","普通","7508100","松田 英樹","貯金","2025-03-16T00:20:54.412334+00:00"
"49","+Acts Bank","名古屋","普通","2956581","遠藤 明美","家族","2025-12-28T04:50:56.412334+00:00"
"50","+Acts Bank","札幌","普通","7827346","森 香織","家賃","2025-07-25T12:07:06.412334+00:00"
"50","+Acts Bank","梅田","普通","6446737","佐藤 春香","貯金","2025-07-27T11:05:15.412334+00:00"
"51","+Acts Bank","渋谷","貯蓄","4552848","佐藤 舞","貯金","2025-10-11T21:10:18.412334+00:00"
"52","+Acts Bank","札幌","普通","9938351","石川 英樹","","2025-09-01T07:13:19.412833+00:00"
"52","+Acts Bank","名古屋","普通","4480889","井上 亮介","家賃","2025-11-16T07:54:16.412833+00:00"
"54","+Acts Bank","梅田","普通","7809185","藤田 結衣","家族","2025-09-28T20:39:03.412833+00:00"
"54","+Acts Bank","渋谷","貯蓄","8337367","井上 洋介","貯金","2025-09-21T00:18:08.412833+00:00"
"57","+Acts Bank","梅田","貯蓄","7185038","青木 幹","家賃","2025-10-21T14:00:10.413332+00:00"
"58","+Acts Bank","札幌","貯蓄","5613799","伊藤 加奈","","2025-10-22T13:23:16.413332+00:00"
"58","+Acts Bank","梅田","普通","3733059","林 裕美子","","2025-06-18T08:00:47.413332+00:00"
"60","+Acts Bank","横浜","貯蓄","3004015","渡辺 零","仕送り","2025-06-19T20:35:52.413831+00:00"
"60","+Acts Bank","横浜","普通","1806661","後藤 太郎","家族","2026-01-02T20:13:07.413831+00:00"
"61","+Acts Bank","名古屋","普通","7068599","斉藤 七夏","家賃","2025-04-13T20:48:24.413831+00:00"
"62","+Acts Bank","渋谷","普通","1416402","田中 明美","家族","2025-04-20T23:53:12.413831+00:00"
"68","+Acts Bank","札幌","普通","7154282","鈴木 治","","2025-09-06T12:16:34.414331+00:00"
"69","+Acts Bank","名古屋","貯蓄","6154755","佐藤 結衣","","2025-08-30T12:43:36.414331+00:00"
"73","+Acts Bank","丸の内","貯蓄","1251855","佐藤 直人","学費","2025-09-12T11:27:15.414831+00:00"
"73","+Acts Bank","名古屋","普通","4046026","田中 康弘","仕送り","2025-09-19T19:44:17.414831+00:00"
"74","+Acts Bank","横浜","普通","6164686","渡辺 和也","仕送り","2026-01-13T08:18:28.414831+00:00"
"75","+Acts Bank","渋谷","普通","6225535","高橋 桃子","仕送り","2025-07-29T15:42:10.415331+00:00"
"75","+Acts Bank","梅田","普通","4795924","井上 淳","家族","2025-05-17T08:47:42.415331+00:00"
"78","+Acts Bank","丸の内","貯蓄","2819675","小林 知実","家賃","2025-06-01T06:28:16.415331+00:00"
"79","+Acts Bank","梅田","普通","2649835","中島 直樹","家賃","2025-11-12T14:03:19.415331+00:00"
"80","+Acts Bank","札幌","貯蓄","5541971","佐藤 陽子","学費","2026-02-04T02:07:17.415831+00:00"
"80","+Acts Bank","札幌","貯蓄","8796483","佐藤 智也","","2026-01-21T08:09:42.415831+00:00"
"81","+Acts Bank","丸の内","普通","1966347","近藤 健一","学費","2025-08-02T16:14:15.415831+00:00"
"81","+Acts Bank","渋谷","普通","3016844","藤田 裕太","仕送り","2026-01-03T11:09:25.415831+00:00"
"82","+Acts Bank","横浜","普通","2543082","藤原 涼平","","2025-08-12T19:51:31.415831+00:00"
"82","+Acts Bank","丸の内","普通","1589625","小林 聡太郎","","2025-08-27T06:38:33.415831+00:00"
"84","+Acts Bank","梅田","普通","9005754","吉田 くみ子","家族","2025-12-08T00:31:27.415831+00:00"
"85","+Acts Bank","札幌","普通","1189534","小林 洋介","家賃","2026-01-10T16:21:02.415831+00:00"
"86","+Acts Bank","横浜","普通","9637049","伊藤 花子","仕送り","2025-05-10T02:44:35.416331+00:00"
"87","+Acts Bank","名古屋","普通","8843847","山本 零","仕送り","2025-09-26T21:26:18.416331+00:00"
"87","+Acts Bank","横浜","普通","4656466","藤井 篤司","家賃","2025-02-19T14:22:10.416331+00:00"
"89","+Acts Bank","丸の内","貯蓄","3944242","鈴木 聡太郎","貯金","2025-08-28T06:03:09.416331+00:00"
"91","+Acts Bank","札幌","普通","3745541","後藤 直人","学費","2026-01-04T01:07:13.416331+00:00"
"92","+Acts Bank","札幌","貯蓄","1408056","遠藤 香織","学費","2025-04-08T04:47:27.416831+00:00"
"92","+Acts Bank","梅田","貯蓄","8139281","伊藤 加奈","仕送り","2026-02-03T13:46:14.416831+00:00"
"93","+Acts Bank","名古屋","普通","8791501","伊藤 直樹","","2025-04-26T21:47:58.416831+00:00"
"93","+Acts Bank","渋谷","普通","8486869","斎藤 直人","","2025-07-18T00:33:40.416831+00:00"
"94","+Acts Bank","横浜","貯蓄","5524172","石川 陽子","","2025-04-17T11:48:33.416831+00:00"
"94","+Acts Bank","梅田","貯蓄","2296403","加藤 充","学費","2025-11-09T16:23:26.416831+00:00"
"95","+Acts Bank","名古屋","貯蓄","8745380","山下 真綾","仕送り","2025-04-26T06:57:53.416831+00:00"
"99","+Acts Bank","横浜","普通","1981424","松本 直樹","学費","2026-01-03T22:24:46.417331+00:00"
"99","+Acts Bank","梅田","普通","1245061","三浦 康弘","家族","2025-10-15T07:59:52.417331+00:00"
"100","+Acts Bank","渋谷","貯蓄","9587394","村上 裕美子","家賃","2025-07-10T17:54:20.417331+00:00"
"100","+Acts Bank","梅田","普通","7577490","林 舞","学費","2026-01-17T04:55:19.417831+00:00"
"105","+Acts Bank","渋谷","普通","3345284","田中 さゆり","学費","2025-10-03T14:00:23.417831+00:00"
"105","+Acts Bank","名古屋","普通","7005222","藤田 治","家賃","2025-04-09T19:16:58.418331+00:00"
"106","+Acts Bank","札幌","普通","5249876","小林 京助","貯金","2025-11-21T04:41:26.418331+00:00"
"108","+Acts Bank","札幌","貯蓄","7147783","藤井 修平","貯金","2025-04-27T06:14:42.418331+00:00"
"113","+Acts Bank","梅田","貯蓄","2069985","山口 治","家賃","2025-11-27T02:57:35.418831+00:00"
"113","+Acts Bank","丸の内","普通","6760423","木村 裕美子","貯金","2025-06-07T06:20:09.418831+00:00"
"115","+Acts Bank","札幌","普通","8899953","藤原 あすか","仕送り","2025-07-04T00:23:33.418831+00:00"
"115","+Acts Bank","札幌","貯蓄","2651801","佐藤 花子","仕送り","2026-02-10T14:35:56.418831+00:00"
"117","+Acts Bank","渋谷","貯蓄","3256331","伊藤 零","学費","2025-02-11T14:17:49.418831+00:00"
"117","+Acts Bank","横浜","貯蓄","2884548","佐々木 充","仕送り","2025-03-11T11:28:58.418831+00:00"
"118","+Acts Bank","名古屋","普通","9578229","渡辺 淳","仕送り","2025-06-05T05:21:06.419332+00:00"
"119","+Acts Bank","名古屋","貯蓄","9988179","藤井 香織","家賃","2026-01-29T23:40:40.419332+00:00"
"121","+Acts Bank","梅田","貯蓄","1398435","鈴木 太郎","仕送り","2025-06-30T23:13:32.419332+00:00"
"121","+Acts Bank","横浜","貯蓄","8767297","小林 淳","仕送り","2025-04-20T20:42:42.419332+00:00"
"123","+Acts Bank","札幌","普通","7123433","田中 直樹","家族","2025-08-27T01:26:49.419332+00:00"
"124","+Acts Bank","梅田","普通","3357168","阿部 直人","仕送り","2026-02-04T03:03:57.419831+00:00"
"125","+Acts Bank","渋谷","貯蓄","8193912","加藤 くみ子","学費","2025-12-10T12:13:28.419831+00:00"
"126","+Acts Bank","名古屋","貯蓄","1606603","佐々木 充","家族","2025-03-24T18:09:06.419831+00:00"
"126","+Acts Bank","丸の内","普通","9114949","中村 太一","仕送り","2025-12-26T08:19:10.419831+00:00"
"127","+Acts Bank","梅田","貯蓄","1188169","伊藤 智也","貯金","2025-06-30T06:40:26.419831+00:00"
"129","+Acts Bank","渋谷","貯蓄","3543814","橋本 千代","家賃","2026-01-04T01:55:12.420332+00:00"
"129","+Acts Bank","渋谷","貯蓄","5336624","斎藤 康弘","家賃","2026-01-17T10:28:24.420332+00:00"
"130","+Acts Bank","名古屋","貯蓄","2568754","佐藤 加奈","","2025-12-29T07:35:53.420332+00:00"
"130","+Acts Bank","渋谷","普通","3245117","中村 七夏","仕送り","2025-04-01T04:39:58.420332+00:00"
"133","+Acts Bank","名古屋","普通","8306839","山口 和也","貯金","2025-06-18T17:23:17.420332+00:00"
"134","+Acts Bank","丸の内","貯蓄","1862363","井上 康弘","仕送り","2025-07-21T01:52:48.420332+00:00"
"134","+Acts Bank","渋谷","貯蓄","3790260","中村 香織","家賃","2025-03-17T08:20:54.420832+00:00"
"135","+Acts Bank","横浜","普通","8057044","小林 稔","学費","2025-07-09T02:12:17.420832+00:00"
"136","+Acts Bank","丸の内","普通","1602484","田中 聡太郎","家賃","2025-04-17T20:51:41.420832+00:00"
"136","+Acts Bank","横浜","普通","2046270","中川 聡太郎","仕送り","2025-12-20T20:10:08.420832+00:00"
"138","+Acts Bank","名古屋","貯蓄","1481572","山下 香織","仕送り","2025-07-21T10:43:50.420832+00:00"
"140","+Acts Bank","横浜","普通","7540275","山口 智也","家賃","2025-06-08T05:35:43.420832+00:00"
"141","+Acts Bank","札幌","普通","6405113","伊藤 拓真","","2025-05-15T12:48:44.420832+00:00"
"145","+Acts Bank","梅田","貯蓄","5994181","小林 裕太","仕送り","2026-02-03T19:21:08.420832+00:00"
"146","+Acts Bank","名古屋","貯蓄","3844847","坂本 拓真","学費","2025-08-27T22:36:33.420832+00:00"
"146","+Acts Bank","渋谷","普通","5532701","西村 智也","学費","2025-02-27T09:14:27.420832+00:00"
"148","+Acts Bank","梅田","貯蓄","2428904","中川 舞","学費","2025-10-05T16:42:25.421835+00:00"
"148","+Acts Bank","梅田","貯蓄","9329256","田中 充","家族","2025-09-06T08:38:47.421835+00:00"
"149","+Acts Bank","横浜","普通","3762712","山下 稔","","2025-08-25T12:53:03.421835+00:00"
"150","+Acts Bank","丸の内","貯蓄","4832864","前田 洋介","学費","2025-11-21T23:53:33.421835+00:00"
"150","+Acts Bank","名古屋","普通","1356798","西村 さゆり","家賃","2025-04-12T17:10:01.421835+00:00"
"151","+Acts Bank","梅田","普通","1878307","井上 知実","","2025-02-25T15:13:34.421835+00:00"
"152","+Acts Bank","丸の内","普通","2910481","松本 幹","","2025-04-19T12:56:27.422339+00:00"
"153","+Acts Bank","札幌","貯蓄","1012927","長谷川 千代","家族","2025-06-14T08:52:31.422339+00:00"
"153","+Acts Bank","名古屋","普通","6018710","中村 陽一","学費","2025-05-26T23:12:46.422339+00:00"
"154","+Acts Bank","渋谷","普通","6694834","橋本 舞","貯金","2025-04-11T03:24:50.422339+00:00"
"155","+Acts Bank","横浜","貯蓄","6420178","藤原 康弘","","2025-06-12T03:49:46.422339+00:00"
"157","+Acts Bank","横浜","貯蓄","2191818","前田 裕樹","家賃","2025-07-16T03:40:05.422339+00:00"
"158","+Acts Bank","丸の内","貯蓄","5221586","斎藤 裕美子","","2026-02-06T23:26:56.422339+00:00"
"158","+Acts Bank","名古屋","貯蓄","3944198","山本 修平","","2026-01-05T10:49:29.422339+00:00"
"160","+Acts Bank","渋谷","貯蓄","2945040","加藤 結衣","家族","2025-11-11T10:30:38.422839+00:00"
"160","+Acts Bank","札幌","貯蓄","1785332","山口 英樹","家族","2025-04-24T01:20:43.422839+00:00"
"161","+Acts Bank","丸の内","普通","1140572","近藤 幹","家族","2025-08-08T11:10:23.422839+00:00"
"161","+Acts Bank","梅田","貯蓄","6172318","田中 結衣","","2025-07-01T17:52:34.422839+00:00"
"162","+Acts Bank","渋谷","貯蓄","1415319","渡辺 あすか","家賃","2026-01-30T04:16:32.422839+00:00"
"163","+Acts Bank","札幌","普通","3979279","前田 稔","貯金","2025-11-01T02:40:30.422839+00:00"
"164","+Acts Bank","札幌","普通","8004644","佐々木 真綾","貯金","2025-06-18T06:17:38.422839+00:00"
"165","+Acts Bank","渋谷","貯蓄","4779971","小林 零","家賃","2025-12-25T05:10:22.423339+00:00"
"166","+Acts Bank","梅田","普通","3808511","小林 智也","貯金","2025-12-21T12:03:34.423339+00:00"
"169","+Acts Bank","渋谷","貯蓄","1588985","山口 智也","家賃","2025-11-06T07:56:50.423339+00:00"
"170","+Acts Bank","名古屋","貯蓄","5917171","田中 結衣","家賃","2025-09-25T13:11:28.423339+00:00"
"170","+Acts Bank","横浜","貯蓄","5326973","山口 英樹","仕送り","2025-04-15T17:18:38.423339+00:00"
"172","+Acts Bank","梅田","貯蓄","1573411","佐藤 直子","学費","2025-07-18T19:21:17.423839+00:00"
"173","+Acts Bank","名古屋","貯蓄","3081167","池田 充","仕送り","2025-10-03T14:21:24.423839+00:00"
"174","+Acts Bank","名古屋","普通","1463063","山本 学","家賃","2025-11-16T12:40:55.423839+00:00"
"174","+Acts Bank","丸の内","貯蓄","4225599","佐々木 太郎","仕送り","2025-04-23T16:38:33.423839+00:00"
"175","+Acts Bank","渋谷","普通","5175283","高橋 舞","家賃","2025-09-01T20:54:54.423839+00:00"
"175","+Acts Bank","札幌","普通","4585846","吉田 裕太","家族","2025-05-10T11:18:13.423839+00:00"
"176","+Acts Bank","梅田","貯蓄","5921535","鈴木 浩","学費","2025-06-29T19:35:30.424338+00:00"
"176","+Acts Bank","名古屋","普通","5758712","近藤 あすか","学費","2025-06-19T00:33:20.424338+00:00"
"178","+Acts Bank","渋谷","普通","5517232","橋本 淳","家賃","2025-06-25T21:35:37.424338+00:00"
"178","+Acts Bank","丸の内","普通","3027366","松本 拓真","家賃","2025-08-24T11:17:06.424338+00:00"
"179","+Acts Bank","札幌","普通","8223665","鈴木 稔","家族","2025-04-08T19:25:21.424338+00:00"
"179","+Acts Bank","梅田","貯蓄","3268019","長谷川 浩","学費","2025-05-12T14:06:11.424338+00:00"
"180","+Acts Bank","梅田","貯蓄","1550426","井上 健一","家族","2025-08-15T15:24:40.424338+00:00"
"181","+Acts Bank","丸の内","貯蓄","5334465","阿部 直子","","2025-03-14T15:05:00.424838+00:00"
"182","+Acts Bank","渋谷","貯蓄","4562363","田中 美加子","家族","2025-08-18T20:50:15.424838+00:00"
"182","+Acts Bank","名古屋","普通","4249437","伊藤 篤司","家族","2025-10-05T06:44:50.424838+00:00"
"183","+Acts Bank","渋谷","普通","7848933","田中 七夏","家族","2025-09-03T21:46:31.424838+00:00"
"183","+Acts Bank","横浜","貯蓄","6555619","田中 裕美子","","2025-08-17T00:30:12.424838+00:00"
"184","+Acts Bank","横浜","貯蓄","8946689","佐々木 淳","","2026-01-24T15:05:23.424838+00:00"
"184","+Acts Bank","横浜","貯蓄","9446615","田中 充","貯金","2025-06-09T16:50:55.424838+00:00"
"185","+Acts Bank","札幌","貯蓄","2504605","山本 直子","学費","2025-02-16T22:03:42.425340+00:00"
"185","+Acts Bank","横浜","普通","5948613","西村 英樹","学費","2025-09-10T16:09:10.425340+00:00"
"187","+Acts Bank","丸の内","貯蓄","7169199","中村 里佳","貯金","2025-12-01T23:42:59.425340+00:00"
"187","+Acts Bank","梅田","普通","3243537","山田 裕樹","学費","2025-02-17T03:25:11.425340+00:00"
"189","+Acts Bank","札幌","普通","4893531","山下 直子","家族","2025-10-14T18:59:31.425340+00:00"
"190","+Acts Bank","札幌","普通","8223061","佐藤 淳","学費","2025-12-23T00:53:47.425340+00:00"
"192","+Acts Bank","渋谷","貯蓄","2263009","石川 香織","家族","2026-01-23T08:16:22.425838+00:00"
"192","+Acts Bank","名古屋","普通","3733196","青木 太一","貯金","2026-02-10T13:33:53.425838+00:00"
"193","+Acts Bank","札幌","普通","3590096","佐藤 和也","家賃","2025-11-04T23:49:39.425838+00:00"
"194","+Acts Bank","札幌","普通","8075442","中村 結衣","仕送り","2025-06-07T08:22:07.425838+00:00"
"195","+Acts Bank","梅田","貯蓄","3415998","坂本 美加子","","2025-04-02T03:53:43.426338+00:00"
"195","+Acts Bank","渋谷","貯蓄","3964805","高橋 あすか","貯金","2025-10-20T16:06:59.426338+00:00"
"196","+Acts Bank","丸の内","貯蓄","2649541","小林 さゆり","","2026-02-10T16:01:33.426338+00:00"
"196","+Acts Bank","丸の内","普通","7877764","田中 英樹","家賃","2025-09-24T23:05:14.426338+00:00"
"199","+Acts Bank","梅田","貯蓄","9213068","佐藤 くみ子","","2025-11-27T21:09:35.426338+00:00"
"199","+Acts Bank","渋谷","普通","5316815","松本 太郎","学費","2025-08-01T23:35:14.426338+00:00"
"200","+Acts Bank","横浜","普通","2912627","山本 康弘","家賃","2026-01-25T03:38:49.426338+00:00"
"200","+Acts Bank","梅田","貯蓄","5150992","石井 晃","貯金","2025-04-04T20:19:22.426838+00:00"
"204","+Acts Bank","横浜","普通","3644908","遠藤 翼","","2025-08-09T22:05:08.426838+00:00"
"204","+Acts Bank","梅田","普通","3703246","高橋 稔","仕送り","2025-03-31T04:01:06.426838+00:00"
"205","+Acts Bank","札幌","貯蓄","7229949","遠藤 七夏","学費","2025-06-05T06:00:21.426838+00:00"
"206","+Acts Bank","梅田","普通","4533197","池田 京助","貯金","2025-11-14T02:48:56.427338+00:00"
"207","+Acts Bank","横浜","貯蓄","8922913","田中 篤司","貯金","2025-12-30T17:00:28.427338+00:00"
"207","+Acts Bank","丸の内","普通","6743973","田中 英樹","貯金","2025-04-10T17:36:53.427338+00:00"
"208","+Acts Bank","横浜","貯蓄","1492188","石川 零","","2025-10-01T12:07:01.427338+00:00"
"208","+Acts Bank","梅田","貯蓄","5866435","小川 零","","2025-06-26T21:08:38.427338+00:00"
"211","+Acts Bank","名古屋","貯蓄","1912080","山本 結衣","家賃","2025-06-20T21:09:17.427338+00:00"
"213","+Acts Bank","梅田","普通","7084744","伊藤 康弘","貯金","2025-10-27T07:55:55.427838+00:00"
"214","+Acts Bank","横浜","貯蓄","3828712","前田 晃","家族","2025-09-27T02:43:33.427838+00:00"
"214","+Acts Bank","横浜","貯蓄","6943359","田中 淳","貯金","2025-07-26T14:57:45.427838+00:00"
"215","+Acts Bank","渋谷","貯蓄","8685694","高橋 花子","貯金","2025-03-15T08:39:34.427838+00:00"
"215","+Acts Bank","横浜","貯蓄","7717158","青木 裕樹","学費","2025-03-07T10:04:44.427838+00:00"
"216","+Acts Bank","札幌","貯蓄","3081580","三浦 翼","仕送り","2025-12-11T11:47:26.427838+00:00"
"217","+Acts Bank","梅田","普通","5428374","鈴木 明美","家賃","2025-06-11T18:08:36.427838+00:00"
"217","+Acts Bank","札幌","普通","7480705","山口 花子","貯金","2026-01-26T09:38:13.428338+00:00"
"219","+Acts Bank","横浜","普通","3731409","佐藤 充","貯金","2025-04-02T01:21:36.428338+00:00"
"221","+Acts Bank","名古屋","普通","4738487","鈴木 翔太","家賃","2025-12-22T23:18:06.428338+00:00"
"222","+Acts Bank","横浜","普通","1051829","高橋 七夏","","2025-03-21T23:45:14.428338+00:00"
"222","+Acts Bank","名古屋","貯蓄","1009367","渡辺 里佳","家賃","2025-11-30T10:23:16.428338+00:00"
"224","+Acts Bank","梅田","普通","7387687","渡辺 太一","貯金","2025-11-26T12:27:28.428838+00:00"
"224","+Acts Bank","渋谷","貯蓄","4468095","斎藤 晃","","2025-05-26T05:30:58.428838+00:00"
"225","+Acts Bank","丸の内","貯蓄","8848197","田中 くみ子","貯金","2025-05-12T13:49:07.428838+00:00"
"226","+Acts Bank","札幌","普通","4320261","小林 拓真","家賃","2025-09-27T22:14:35.428838+00:00"
"227","+Acts Bank","札幌","普通","4231486","松田 直子","学費","2025-09-24T02:11:01.428838+00:00"
"228","+Acts Bank","名古屋","貯蓄","7389077","佐藤 修平","","2025-06-02T16:11:58.428838+00:00"
"229","+Acts Bank","札幌","貯蓄","9367311","鈴木 充","仕送り","2025-09-01T14:58:53.428838+00:00"
"231","+Acts Bank","名古屋","普通","6654032","清水 太郎","貯金","2025-09-24T06:58:52.429339+00:00"
"232","+Acts Bank","渋谷","貯蓄","5530567","田中 里佳","貯金","2025-07-02T01:33:36.429339+00:00"
"233","+Acts Bank","丸の内","貯蓄","1891369","山本 充","家賃","2025-10-24T03:13:56.429339+00:00"
"236","+Acts Bank","丸の内","貯蓄","7457950","高橋 さゆり","家賃","2025-02-24T10:15:34.429838+00:00"
"236","+Acts Bank","横浜","普通","3454463","清水 浩","家賃","2025-08-29T16:59:10.429838+00:00"
"238","+Acts Bank","梅田","普通","5956141","中川 幹","学費","2025-05-23T14:34:04.429838+00:00"
"238","+Acts Bank","横浜","貯蓄","5215533","加藤 亮介","仕送り","2025-11-05T09:36:49.429838+00:00"
"240","+Acts Bank","丸の内","貯蓄","4557294","鈴木 幹","","2025-03-04T23:49:23.429838+00:00"
"240","+Acts Bank","名古屋","貯蓄","3385503","山下 陽子","仕送り","2025-11-13T01:52:01.429838+00:00"
"242","+Acts Bank","横浜","普通","3678070","林 稔","家賃","2025-12-08T16:26:41.430340+00:00"
"244","+Acts Bank","渋谷","貯蓄","9172319","佐藤 健一","貯金","2025-09-04T11:49:09.430340+00:00"
"247","+Acts Bank","札幌","貯蓄","3612811","清水 裕美子","家賃","2026-01-03T15:54:40.430340+00:00"
"247","+Acts Bank","丸の内","普通","3739247","伊藤 稔","貯金","2025-07-21T10:39:40.430340+00:00"
"248","+Acts Bank","梅田","普通","8346964","佐々木 直樹","仕送り","2026-01-26T23:44:02.430838+00:00"
"248","+Acts Bank","丸の内","貯蓄","5105649","林 知実","学費","2025-04-26T04:26:30.430838+00:00"
"249","+Acts Bank","梅田","貯蓄","5806334","山本 涼平","家賃","2025-07-19T22:28:35.430838+00:00"
"251","+Acts Bank","札幌","貯蓄","5487578","石川 あすか","貯金","2026-02-09T14:01:35.430838+00:00"
"251","+Acts Bank","渋谷","貯蓄","2261911","中島 知実","家族","2025-05-31T07:17:56.430838+00:00"
