"session_id","user_id","jwt_token","ip","user_agent","login_at"
"sess-33-0-1993","33","jwt_9d06bfb600f8458eb4d67150532548617a64d917cebc45a19efb684b264f5981","196.197.222.180","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-10-31T05:22:11.410314+00:00"
"sess-33-1-7139","33","jwt_18dc99c583cb4ebfa06be1a0717c7103f835b0defe8d4bc4b220d5c496049160","142.51.111.125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-09-17T20:40:31.410314+00:00"
"sess-34-0-3963","34","jwt_6fea2fdaddd44e8aa89c49b1197dea3fa5a884d19e4142a4b7736011596cd549","23.196.16.55","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-08-24T13:07:41.410314+00:00"
"sess-34-1-3164","34","jwt_db066af2404d49cf9461999011f1603d9b4d84f2ca194c2c90db4f2081a5c10b","217.192.213.183","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-09-26T01:05:13.410314+00:00"
"sess-36-0-3442","36","jwt_0a762cc3a7f0483b943b5f1ac11dfc97e0e3fedc1d514e3f8bbcddfcf9939f61","62.128.11.59","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-09-28T22:30:38.410314+00:00"
"sess-37-0-9846","37","jwt_7ede904ccfad417ebd4faa176fb19cdd36cb5a65d1b748759f2f0e987099e776","39.104.17.30","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-07-08T08:32:00.410314+00:00"
"sess-38-0-1871","38","jwt_1fd6c08b8e564a4292ad2d4e5a512e57ffba9cfdf5af4e2da63e438082f7077d","192.68.165.229","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-05-04T17:06:50.410314+00:00"
"sess-38-1-1047","38","jwt_2898be53fdbc476ba5b7c2d18b7961c4aa80a3f4ba224007a693ae077b36cc4e","145.166.154.200","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-03-27T14:04:17.410314+00:00"
"sess-39-0-7228","39","jwt_c6c2c2d25f5744fd98bb16ca0f18ffe4287ba5a552fa440aa0b9530fb2ebf997","199.149.97.35","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-12-21T15:20:51.410314+00:00"
"sess-41-0-3834","41","jwt_165cedb8e4d04baabe08d1db2d8f286b3a3b06e8c98f4a18a88d133cece1326b","200.38.249.233","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-07-31T00:36:35.411325+00:00"
"sess-42-0-1073","42","jwt_721e95c16b604a64a60bd2950f9b1a9a1926058876d34e48aa242428bdb5015a","5.47.252.169","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-12-03T09:15:36.411325+00:00"
"sess-43-0-5299","43","jwt_1b3eb35c918c44379158fd968605a77400314e3c69c047e083cf4ca2ee6f5b89","209.105.151.76","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-10-25T01:36:41.411325+00:00"
"sess-43-1-3874","43","jwt_7c5e0bc7813244faba3ec71b928b0e544c31e15708654fc89a877cec839e3a27","223.72.5.182","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-09-13T12:03:22.411325+00:00"
"sess-45-0-7747","45","jwt_6ae2a5ec314c4ef08da65143f6c1488b5fc4c04f256d40389b833401c73e121c","170.142.159.28","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-06-23T05:49:49.411832+00:00"
"sess-46-0-1457","46","jwt_32ec934d84024a7d97a6916d02c7eecc741cc9f2c043453cad3e556f2c9b333a","205.63.69.166","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-04-17T03:33:10.411832+00:00"
"sess-46-1-4149","46","jwt_a4b5aee387cd4294bf713e13e0f6eb1d3442fda9895e4a73895babba970c7e66","166.12.41.104","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-09-16T09:22:48.411832+00:00"
"sess-47-0-2772","47","jwt_06ce821ced1b45c6b90b4d631a1c67fd03d6272e7b184058997ced230e1a1b47","160.178.59.212","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-02-15T01:58:38.412334+00:00"
"sess-47-1-4097","47","jwt_0894c3dd55824ec1ac8e0f5ef51378c22ef259a949354a9ab8758e39113811de","69.247.183.180","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-03-07T17:53:55.412334+00:00"
"sess-48-0-2994","48","jwt_eff903ea1af04360a4e201f5d76d7db99af1a49587514a98ab98fcfff14dc5b7","171.115.102.106","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-02-23T12:51:03.412334+00:00"
"sess-48-1-9521","48","jwt_b83a80f96d064f42b669207b5de0a53ef5f419e9fdf7455a96119d7ccfcf1992","163.241.223.203","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-04-29T09:36:57.412334+00:00"
"sess-49-0-1452","49","jwt_5ee903dd06eb4068897cb313b33653eca0cee40b3bc841cc8a85d374bf0ebd0b","177.125.254.141","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-10-06T06:12:11.412334+00:00"
"sess-49-1-4193","49","jwt_269ee6b2a6cc41f4a27357e81828cdf6bfdb19b7e4274b0995e3d3d444f1faa8","158.140.39.254","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-07-17T07:59:29.412334+00:00"
"sess-50-0-8516","50","jwt_b1c4a79d2f6141d4bbbb67272a6fbeb248b9226a270f40c0813380f383c33a38","43.213.93.20","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2026-02-06T21:20:17.412334+00:00"
"sess-50-1-2207","50","jwt_9337ce84aa3e4f8ebf8b1484f2773b5b81b95a7c838a4451a2bb4914040a4be2","171.132.109.72","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-04-01T07:25:41.412334+00:00"
"sess-52-0-5733","52","jwt_1242933fba7047f597b1b28d42759ffae01238a8e5434a419856a89b6e1e646b","11.192.186.145","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-11-25T21:51:36.412833+00:00"
"sess-53-0-7146","53","jwt_53bd1f39d5aa46ab870b1c1bb8c451e4ad047aeeb58c4351bee5fa4c590f52bb","150.4.98.91","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-06-05T10:05:16.412833+00:00"
"sess-53-1-9148","53","jwt_7bee5f11894d42a3b1ee19515f3ecffe769e448904304b22bf3c0043c9d69876","35.19.19.250","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-04-26T06:28:56.412833+00:00"
"sess-54-0-8093","54","jwt_167d7ac7a7a04a2890f9b05a91ffa0ea01f12dc650e34256ab6ce29a5bc49282","199.212.250.63","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-04-23T04:27:51.412833+00:00"
"sess-55-0-9100","55","jwt_67a663c3837947129bbf473f7b801799d120d39cfa204c08a19624743503452d","43.26.128.202","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2026-01-27T06:30:39.413332+00:00"
"sess-56-0-1758","56","jwt_5a291ac11cb746fa9cfc2f5ef416153ad4956e1951554a14930c6421eaeca920","200.0.95.124","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-07-14T03:38:41.413332+00:00"
"sess-57-0-5430","57","jwt_355423ffc1324cba8a63b63306094bc690db19c5c125460c87f21cabc582f879","161.182.115.246","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-11-24T13:09:00.413332+00:00"
"sess-57-1-2352","57","jwt_a91e649f6f8548779ca321d3f2e692ddc8b125f1e072483db5f2233feeb48657","192.126.130.158","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-10-28T08:58:57.413332+00:00"
"sess-59-0-9569","59","jwt_428fa678f7334e8680ecf4f0eed09bad77bbffab39564a17b7fef5aff6c64184","126.21.187.94","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2026-01-20T21:35:16.413831+00:00"
"sess-60-0-7103","60","jwt_ebd18806b75543d48825136776314af3ce789c13c08b4b2c887269ed5d83606d","194.152.91.86","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-06-03T23:03:30.413831+00:00"
"sess-61-0-5594","61","jwt_96e4572832dd4ba9bf9ba655e31db7d3c7ad4577156e44a4a8f6c8667dc3e3d0","192.238.33.63","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-07-18T09:41:00.413831+00:00"
"sess-61-1-9690","61","jwt_438e69fa0df6451cad23a974a30f0a49c2491718832446da8f68e0ddb7aad331","87.28.141.101","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-05-24T15:01:11.413831+00:00"
"sess-63-0-9948","63","jwt_3ef7a934a14148ce9c741ee053a83f53b6828b2f122d4401b954c60ae3a36202","115.245.105.211","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-09-30T12:46:25.414331+00:00"
"sess-63-1-3148","63","jwt_d3ff77e840ca4d7f9a68e54ac39ab5ac400626e94f104c51991b9c9aa3a9bef9","41.72.158.3","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-06-01T19:30:06.414331+00:00"
"sess-65-0-4683","65","jwt_bc8a3dfad8e449acbbf51ddd9c6417e8e5ffaeea76df48b8994ed8f1f10b2141","200.59.182.201","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2026-02-02T05:07:19.414331+00:00"
"sess-67-0-4738","67","jwt_be87bb12b91f4f5787837ba8ff6f697340764bb413414e27931720a3fae82208","201.49.248.228","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-02-22T14:35:24.414331+00:00"
"sess-67-1-4170","67","jwt_29ff8271f33646bcb98387dad22be513c58d20c062e5485d9af29c926bafad5b","54.62.125.93","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-03-28T04:34:22.414331+00:00"
"sess-68-0-9250","68","jwt_fa90f305e9ee4b3aa09714068a3c54d4aa6b6a67358d462c8490d83ae305ec15","221.168.188.217","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-03-17T08:07:14.414331+00:00"
"sess-68-1-2255","68","jwt_fb84d13224ee4868a896187bce731f4108cf319bb6324e868ded99bccf9172dc","206.241.23.239","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2026-01-05T04:22:23.414331+00:00"
"sess-69-0-4096","69","jwt_c72c64a5f8f74c699fbde1049270c5fdf8f157207a964792a38c34fb63bdaa8b","38.143.14.73","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-12-02T12:03:12.414831+00:00"
"sess-69-1-9925","69","jwt_1826c8b805664e548f7e963a625ffe457ef0b2f27756416a8dcfc18f9b5e7bef","151.17.121.61","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-08-13T13:34:46.414831+00:00"
"sess-70-0-4665","70","jwt_fe8b19b8e8414f6ca82c9b5e864b9f68de4e03fe323f441eb2a6ca4da5fccb09","187.131.175.191","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2026-01-20T21:40:12.414831+00:00"
"sess-72-0-3396","72","jwt_4d88c5a12976406fb51052a18925706bb2c42edec68d4375a46dfaae8eee7bb5","6.148.178.73","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-06-28T19:39:48.414831+00:00"
"sess-73-0-3494","73","jwt_b6389ff888fd4c69a7665a16a67ebe8381f692aa95824208841fc04a721b2cb7","50.117.26.160","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-12-30T20:07:19.414831+00:00"
"sess-73-1-6042","73","jwt_275c94f9706049d1ba9594c63f6a69d3e7f70d8e6d704cc68556da60eec6b6e3","221.121.48.67","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2026-01-08T13:18:22.414831+00:00"
"sess-74-0-9413","74","jwt_2a5480b8e0894678b4077ca79616803a1363ae983eb6446ea6b28ed28740e956","210.236.31.147","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-09-12T11:26:25.415331+00:00"
"sess-75-0-5809","75","jwt_9ed8ea014a4c4863ba19bed9980ba657000fd595bc0e41cd8923ec911f085841","176.94.17.170","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-05-09T19:59:06.415331+00:00"
"sess-76-0-2928","76","jwt_2d11635576b44c22961d7d4a861cb27ec9efb39306d244259a9b416125cf5aad","26.51.36.82","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-10-04T20:04:19.415331+00:00"
"sess-76-1-6976","76","jwt_b69e57f7a7ff4886aa5615fb6bdc3d931918c5164b424cc790ed1ee7302c357e","202.229.215.190","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-10-29T09:33:24.415331+00:00"
"sess-77-0-1701","77","jwt_0398975c32304a2b94f9d507aab1054a4150422046cf480bb84c2357066f6d4c","169.145.201.183","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-11-30T06:58:52.415331+00:00"
"sess-78-0-6072","78","jwt_4e25aa1555464c6994563649352f34121219b9298e0a4a0b86a6efad02ddbec5","70.150.112.243","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-12-04T17:25:47.415331+00:00"
"sess-79-0-2971","79","jwt_559d56599364491cadcd05f20a84e316cbab904aa5104fbfa917047d83f96cb9","222.207.94.198","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-07-13T20:42:39.415831+00:00"
"sess-80-0-4410","80","jwt_5964a13474a04e47ac5fdd4be0453e12f3833902f7834e30b4602e9097850ff3","186.247.4.94","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-04-24T17:54:03.415831+00:00"
"sess-82-0-5514","82","jwt_af799bba64334408b7d92c497517fa32fea716c6279645e9b1954daa300228d6","118.34.58.167","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-09-10T21:08:22.415831+00:00"
"sess-88-0-2820","88","jwt_252a6588ffdb4c6abb017e3d581e4f4e783a3879e6654323971dbb8b38010b92","138.250.42.10","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-07-17T01:12:21.416331+00:00"
"sess-90-0-3836","90","jwt_62d0077f49c04282a316a3c1f1db3354ab5cd109764e498b8cd6ff39e2032cc3","79.174.132.42","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-04-29T01:59:48.416331+00:00"
"sess-91-0-7585","91","jwt_d45823cc8d8e40dabaf6ae281255f8bb448b64bdd1694afb9b43de47e63b2303","104.207.11.202","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-05-15T13:20:44.416331+00:00"
"sess-92-0-9640","92","jwt_52fa25b1e976415294b255ddd5a0b0afcb34b0867c384528b42f056d35d6b24b","37.68.159.98","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-03-26T14:42:16.416831+00:00"
"sess-92-1-7521","92","jwt_5756e349623e47628524056506fb63a7bb10f31acedb4bd2b06cd59d92885c93","21.194.32.11","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-08-09T12:28:25.416831+00:00"
"sess-93-0-5452","93","jwt_cfc6c5c081284a4285f15430fc52261e29f23d3d88af40189c98a837d52f644f","140.149.29.251","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-11-21T17:48:40.416831+00:00"
"sess-94-0-2304","94","jwt_1dec61db403a4379bafb019d1acfa2cd8bdff9fd0a6d4e55b20f3ffd0adef12f","211.65.215.193","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-12-30T15:58:38.416831+00:00"
"sess-94-1-4744","94","jwt_174aff113c0a4bd29f0a43a13d1abe73955c426c67114547844105a8526fa556","198.242.58.13","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-02-17T11:01:52.416831+00:00"
"sess-97-0-1496","97","jwt_e961d66bf5b542f98418c3287687dce82c2b44491f1c48eab7a254afd0ff3102","175.231.47.119","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-11-10T00:48:14.417331+00:00"
"sess-98-0-8790","98","jwt_ca6778851dde461eb8c90db31d0943911bb1a96f65ab47e79a0154e9772ecb29","24.202.176.228","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-05-19T21:44:38.417331+00:00"
"sess-98-1-4458","98","jwt_057d2b9702544d0b8121dd42d8f695fe05656694378648eda0365f8ac1530110","208.50.147.137","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2026-01-22T18:17:40.417331+00:00"
"sess-100-0-6054","100","jwt_d27f97ec66604ca091d6177d18139eb6ba828e148bc94c5a8e2bf78992bee5c4","169.43.39.158","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-10-10T19:14:56.417831+00:00"
"sess-100-1-1776","100","jwt_82014c13752e4d22ba721527ccde134a87eb37924ee6428591290e888e1ca162","173.190.149.116","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-10-12T05:46:16.417831+00:00"
"sess-103-0-6207","103","jwt_9dccde6832a74e8094a965e45037bb5f5fbc09ab6ae648dcb5b6b190b860b1b5","15.160.216.12","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-09-29T21:17:34.417831+00:00"
"sess-104-0-9957","104","jwt_4a79eef5a23945108516b4f7306f22cf58f0a23e58254abc8a5e22b6ff12c24f","213.213.75.100","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-10-01T07:08:34.417831+00:00"
"sess-104-1-8867","104","jwt_822dcd3356ba427f9f8dc64ef3fafd3b0716561a0b284ecfb71b674f2ad12816","143.176.190.199","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-03-25T19:47:04.417831+00:00"
"sess-105-0-5381","105","jwt_ac0e41c3511447e29efb29da78343a87963f020cc0f547d0b0529f5c79daf4d8","156.175.50.63","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-02-18T18:57:39.418331+00:00"
"sess-105-1-7064","105","jwt_64bb4c39b7234dbeaa4d90af86f0aa22efc61b4c48da4ce88b54fda722e69a33","211.208.194.8","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-12-16T03:11:33.418331+00:00"
"sess-107-0-1589","107","jwt_be7d4bae2a734a6ab799dda54378d6d43c0ec5894f2e4c4b8cea9c2550e63d0b","124.63.63.89","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7)","2025-02-19T21:49:19.418331+00:00"
"sess-107-1-5980","107","jwt_164916d0758349f1b3fa0ac686bf006ece75204d30e64eb898e8b7f0d5570e72","196.24.215.26","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-06-20T16:32:15.418331+00:00"
"sess-108-0-6587","108","jwt_5b39aa4b31fa482288f2b420cfa447f7f8fdf356417445f980f9af996c6761bf","120.185.167.161","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-08-03T12:32:19.418331+00:00"
"sess-109-0-2816","109","jwt_18a1a17555ff469fb109f66e8489af100df1ab75a1bb404e8c3b5de994be994b","120.104.82.146","Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X)","2025-02-18T03:26:16.418331+00:00"
"sess-112-0-2945","112","jwt_d468f4da64ef4f39994f310dd0078da8059aee96b21e444f947541889dee78c9","197.217.210.229","Mozilla/5.0 (Windows NT 10.0; Win64; x64)","2025-04-08T08:39:59.418831+00:00"
